buurtnaam,buurtcode,hvi,hvi_tier,hi_norm,svi_pca,cooling_access,tree_density_per_km2,mean_height_score,temp_mean,ndvi_mean
Steigereiland Noord,BU03633500,0.694412,5,0.749104,0.780992,0.58813,963.6,8.323171,28.528717,0.239546
Borneo,BU03633305,0.685699,5,0.763441,0.83865,0.775688,927.6,12.634091,29.501901,0.088677
Westerdokseiland,BU03630500,0.656886,5,0.806452,0.768099,0.864673,556.4,8.967568,31.378875,0.037265
Willibrordusbuurt,BU03632500,0.549933,2,0.716846,0.615102,0.914231,1597.4,10.006579,37.325497,0.223259
Nieuwendijk Noord,BU03630102,0.608647,4,0.777778,0.68929,0.890898,818.0,12.6,38.112997,0.074301
Het Funen,BU03630905,0.61533,4,0.659498,0.805169,0.852684,2003.0,10.794643,35.632979,0.327735
IJselbuurt Oost,BU03635301,0.535287,2,0.584229,0.708191,0.908407,1818.4,11.058233,35.782943,0.309372
Houthavens Oost,BU03631201,0.594646,4,0.612903,0.795873,0.844319,11.7,11.5,25.323979,-0.072328
Bedrijvengebied Veelaan,BU03633308,0.548666,2,0.584229,0.710284,0.845694,1913.3,12.510309,38.328558,0.244052
Oostelijke Handelskade,BU03633300,0.708771,5,0.806452,0.833799,0.73665,371.9,10.616279,32.016936,0.098045
Sporenburg,BU03633304,0.707092,5,0.749104,0.898281,0.759308,820.4,11.473404,27.62876,0.028778
Nieuwendammerdijk Zuid,BU03636404,,,0.508961,0.703803,,2258.5,14.611111,28.686493,0.736754
Van Brakelkwartier,BU03637503,0.524829,2,0.659498,0.57387,0.842594,914.7,13.468085,37.618353,0.331476
De Wester Quartier,BU03637502,0.548407,2,0.716846,0.571974,0.835603,1753.7,10.66791,38.480547,0.352787
Filips van Almondekwartier,BU03637501,0.588865,4,0.688172,0.710365,0.852752,1375.1,9.75,38.614666,0.288322
Bedrijventerrein Nieuwendammerdijk,BU03637202,0.57482,3,0.508961,0.741068,0.625956,579.2,13.477876,29.132554,0.074261
Legmeerpleinbuurt,BU03634404,0.600149,4,0.584229,0.819243,0.8062,1944.8,11.154472,36.973108,0.335002
Amstelkwartier West,BU03635809,0.503537,1,0.508961,0.640481,0.7812,3564.4,16.289959,34.559579,0.372616
Schinkelbuurt Noord,BU03634500,0.564156,3,0.523297,0.792185,0.810184,1286.6,15.562016,37.0725,0.332668
Lastage,BU03630403,0.592708,4,0.659498,0.757695,0.870847,1517.9,13.074074,34.746471,0.237639
Rietlanden,BU03633301,0.658967,5,0.763441,0.776464,0.784974,871.7,18.604895,34.852008,0.201627
Planciusbuurt Noord,BU03630505,0.629661,5,0.83871,0.683168,0.895451,2233.8,6.9,34.322458,0.169822
Papaverweg e.o.,BU03637102,0.689138,5,0.688172,0.927297,0.78525,,,37.904394,0.207273
K-buurt Zuidwest,BU03639407,0.560178,3,0.763441,0.480251,0.686497,3008.4,8.437093,36.877472,0.47586
Buiksloterham,BU03637106,0.635284,5,0.716846,0.773532,0.804333,472.1,10.045455,32.345994,0.02831
Bedrijventerrein Hamerstraat,BU03637200,0.587608,4,0.62724,0.707337,0.731112,,,35.928706,0.011638
Laan van Spartaan,BU03633901,0.642716,5,0.942652,0.586915,0.845553,1731.3,7.435897,38.723797,0.312652
Rijnbuurt Oost,BU03635401,0.519499,2,0.462366,0.774537,0.876312,3121.0,13.046547,34.517711,0.419579
Noordwestkwadrant Indische buurt Noord,BU03633100,0.583035,4,0.749104,0.666386,0.915804,,,36.754274,0.325675
Westhaven Zuid,BU03631007,0.55877,3,0.584229,0.703803,0.782214,2.1,,38.923347,0.166358
Bedrijvengebied Zeeburgerkade,BU03633310,0.563366,3,0.569892,0.768413,0.859779,1305.5,12.597458,34.585593,0.190575
Kromme Mijdrechtbuurt,BU03635400,0.500276,1,0.551971,0.647155,0.896874,2352.5,11.384286,37.325087,0.287876
Nieuw Sloten Zuidoost,BU03638808,0.624066,5,0.598566,0.818494,0.713792,3841.2,8.929093,36.275431,0.421459
Oostenburg,BU03630903,0.541496,2,0.659498,0.605351,0.82222,1833.9,9.934932,35.642366,0.22017
Orteliusbuurt Zuid,BU03634203,0.548427,2,0.645161,0.674068,0.896324,1947.9,11.58,37.125042,0.41111
