buurtnaam,temp_mean,buurt_area,ndvi_mean,water_prc,road_prc
Steigereiland Noord,28.52871747,220003.698,0.2395460397,34.909,0.035
Borneo,29.50190142,267367.961,0.0886768271,16.42,0.083
Westerdokseiland,31.37887456,337889.098,0.03726461184,15.461,0.001
Willibrordusbuurt,37.32549704,123949.349,0.2232589685,13.415,0.061
Nieuwendijk Noord,38.11299724,66013.804,0.07430055973,11.489,0.004
Het Funen,35.63297916,91862.864,0.32773535,10.956,0.087
IJselbuurt Oost,35.78294301,158934.018,0.3093715936,10.538,0.207
Houthavens Oost,25.32397891,256290.041,-0.07232777304,10.49,0.008
Bedrijvengebied Veelaan,38.32855769,51219.132,0.2440515837,10.027,0.143
Oostelijke Handelskade,32.01693585,357594.262,0.09804517623,9.903,0.049
Sporenburg,27.62875965,364453.348,0.02877840651,9.854,0.048
Nieuwendammerdijk Zuid,28.68649336,182866.003,0.7367538439,9.245,0.014
Van Brakelkwartier,37.6183532,53566.872,0.3314762039,8.994,0.038
De Wester Quartier,38.48054733,77548.744,0.352787429,7.844,0.056
Filips van Almondekwartier,38.61466631,45088.673,0.2883219854,7.732,0.05
Bedrijventerrein Nieuwendammerdijk,29.13255394,219256.286,0.07426144607,7.314,0.001
Legmeerpleinbuurt,36.97310843,75587.396,0.335001857,7.255,0.049
Amstelkwartier West,34.55957883,255581.611,0.3726157425,6.647,0.01
Schinkelbuurt Noord,37.07249951,108038.582,0.3326683302,6.554,0.012
Lastage,34.74647114,77739.659,0.2376393928,6.452,4.391
Rietlanden,34.85200824,344152.663,0.2016271701,6.395,0.127
Planciusbuurt Noord,34.32245782,24173.802,0.1698220674,6.298,1.185
Papaverweg e.o.,37.90439375,695392.882,0.2072725503,6.104,0.01
K-buurt Zuidwest,36.87747201,168529.787,0.4758595331,6.042,0.312
Buiksloterham,32.34599391,658695.294,0.02830965887,5.96,0.02
Bedrijventerrein Hamerstraat,35.92870557,499394.298,0.01163796858,5.807,0.001
Laan van Spartaan,38.72379712,165768.569,0.3126520531,5.233,0.004
Rijnbuurt Oost,34.51771064,232614.418,0.4195790105,5.162,0.067
Noordwestkwadrant Indische buurt Noord,36.75427446,176127.429,0.3256751593,4.992,0.036
Westhaven Zuid,38.92334655,469926.525,0.1663579448,4.808,0.002
Bedrijvengebied Zeeburgerkade,34.58559284,99580.691,0.1905753128,4.687,0.009
