name,AA_KRA_TOTAAL_S.0,DR_AANPASSINGSVERMOGEN_S.0,DR_AV_MATE_VAN_VERHARDING_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_AV_ZOETWATER_BESCHIKBAARHEID_S.0,DR_AV_ZOETWATER_BESCHIKBAARHEID_V.0,DR_BLOOTSTELLING_S.0,DR_BS_GROEN_PRIVAAT_S.0,DR_BS_GROEN_PRIVAAT_V.0,DR_BS_GROEN_PUBLIEK_S.0,DR_BS_GROEN_PUBLIEK_V.0,DR_GEVOELIGHEID_S.0,DR_GV_BODEMDALING_S.0,DR_GV_BODEMDALING_V.0,DR_GV_FUNDERINGSSCHADE_S.0,DR_GV_FUNDERINGSSCHADE_V.0,DR_GV_HOOFD_GROEN_STRUCTUUR_S.0,DR_GV_HOOFD_GROEN_STRUCTUUR_V.0,DR_GV_SCHADE_AAN_GROEN_S.0,DR_GV_SCHADE_AAN_GROEN_V.0,DR_GV_VERZILTING_GRONDWATER_S.0,DR_GV_VERZILTING_GRONDWATER_V.0,DR_KLIMAATOMSTANDIGHEID_S.0,DR_KO_GRONDWATER_S.0,DR_KO_GRONDWATER_V.0,DR_TOTAAL_S.0,HI_AANPASSINGSVERMOGEN_S.0,HI_AV_LATK_S.0,HI_AV_LATK_V.0,HI_AV_TOEGANG_TOT_TUIN_S.0,HI_AV_TOEGANG_TOT_TUIN_V.0,HI_BLOOTSTELLING_S.0,HI_BS_AANTAL_INWONERS_V.0,HI_BS_ANTAL_INWONERS_S.0,HI_BS_DRUK_OPENBARE_RUIMTE_S.0,HI_BS_DRUK_OPENBARE_RUIMTE_V.0,HI_BS_SCHADUW_OP_LOOPGEBIEDEN_S.0,HI_BS_SCHADUW_OP_LOOPGEBIEDEN_V.0,HI_GEVOELIGHEID_S.0,HI_GV_AANTAL_65PLUS_S.0,HI_GV_AANTAL_65_INWONERS_V.0,HI_GV_AANTAL_LAAGOPGELEIDEN_V.0,HI_GV_AANTAL_LAAG_OPGELEIDEN_S.0,HI_GV_AANTAL_LANGDURIG_ZIEKE_INWONERS_S.0,HI_GV_AANTAL_LANGDURIG_ZIEKE_INWONERS_V.0,HI_GV_INWONERS_BEPERKT_MOBIEL_S.0,HI_GV_INWONERS_BEPERKT_MOBIEL_V.0,HI_GV_INWONERS_ONDER_SOCIAAL_MINIMUM_S.0,HI_GV_INWONERS_ONDER_SOCIAAL_MINIMUM_V.0,HI_GV_PANDEN_MET_KWETSBARE_GROEPEN_S.0,HI_GV_PANDEN_MET_KWETSBARE_GROEPEN_V.0,HI_KLIMAATOMSTANDIGHEID_S.0,HI_KO_PET_S.0,HI_KO_PET_V.0,HI_TOTAAL_S.0,WO_AANPASSINGSVERMOGEN_S.0,WO_AV_GROENPRIVAAT_S.0,WO_AV_GROENPRIVAAT_V.0,WO_AV_GROENPUBLIEK_S.0,WO_AV_GROENPUBLIEK_V.0,WO_AV_ONTWATERINGSDIEPTE_S.0,WO_AV_ONTWATERINGSDIEPTE_V.0,WO_BLOOTSTELLING_S.0,WO_BL_DRUK_OPENBARE_RUIMTE_V.0,WO_BS_AANTAL_INWONERS_S.0,WO_BS_AANTAL_INWONERS_V.0,WO_BS_DRUK_OPENBARE_RUIMTE_S.0,WO_BS_VITAAL_EN_KWETSBAAR_S.0,WO_BS_VITAAL_EN_KWETSBAAR_V.0,WO_BS_WATER_OP_PLUSNET_S.0,WO_BS_WATER_OP_PLUSNET_V.0,WO_BS_WATER_OP_STRAAT_S.0,WO_BS_WATER_OP_STRAAT_V.0,WO_BS_WATER_TEGEN_GEVEL_S.0,WO_BS_WATER_TEGEN_GEVEL_V.0,WO_GEVOELIGHEID_S.0,WO_GV_AANTAL_65_INWONERS_S.0,WO_GV_AANTAL_65_INWONERS_V.0,WO_GV_AANTAL_LAAG_OPGELEIDEN_S.0,WO_GV_AANTAL_LAAG_OPGELEIDEN_V.0,WO_GV_AANTAL_LANGDURIG_ZIEKE_INWONERS_S.0,WO_GV_AANTAL_LANGDURIG_ZIEKE_INWONERS_V.0,WO_GV_INWONERS_MOBILITEIT_S.0,WO_GV_INWONERS_MOBILITEIT_V.0,WO_GV_OPPERVLAKTE_WATER_S.0,WO_GV_OPPERVLAKTE_WATER_V.0,WO_GV_PANDEN_MET_KWETSBARE_GROEPEN_S.0,WO_GV_PANDEN_MET_KWETSBARE_GROEPEN_V.0,WO_GV_SOCIAAL_MINIMUM_S.0,WO_GV_SOCIAAL_MINIMUM_V.0,WO_GV_TYPE_RIOLERING_S.0,WO_GV_TYPE_RIOLERING_V.0,WO_KLIMAATOMSTANDIGHEID_S.0,WO_KO_WATERDIEPTE_S.0,WO_KO_WATERDIEPTE_V.0,WO_TOTAAL_S.0,WV_AANPASSINGSVERMOGEN_S.0,WV_AV_AANKOMSTTIJD_S.0,WV_AV_EVACUATIE_AANKOMSTTIJD_V.0,WV_AV_VERTICALE_EVACUATIE_ROUTES_S.0,WV_AV_VERTICALE_EVACUATIE_ROUTES_V.0,WV_BLOOTSTELLING_S.0,WV_BS_AANTAL_INWONERS_S.0,WV_BS_AANTAL_INWONERS_V.0,WV_BS_OVERSTROMINGSDUUR_S.0,WV_BS_OVERSTROMINGSDUUR_V.0,WV_BS_VITAAL_EN_KWETSBAAR_S.0,WV_BS_VITAAL_EN_KWETSBAAR_V.0,WV_GEVOELIGHEID_S.0,WV_GV_AANTAL_65PLUS_S.0,WV_GV_AANTAL_65PLUS_V.0,WV_GV_AANTAL_LAAG_OPGELEIDEN_S.0,WV_GV_AANTAL_LAAG_OPGELEIDEN_V.0,WV_GV_AANTAL_LANGDURING_ZIEKE_INWONERS_S.0,WV_GV_AANTAL_LANGDURING_ZIEKE_INWONERS_V.0,WV_GV_INWONERS_MOBILITEIT_S.0,WV_GV_INWONERS_MOBILITEIT_V.0,WV_GV_INWONERS_SOCIAAL_MINIMUM_S.0,WV_GV_INWONERS_SOCIAAL_MINIMUM_V.0,WV_GV_PANDEN_MET_KWETSBARE_GROEPEN_S.0,WV_GV_PANDEN_MET_KWETSBARE_GROEPEN_V.0,WV_KLIMAATOMSTANDIGHEID_S.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_100000_S.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_100000_V.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_10000_S.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_10000_V.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_1000_S.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_1000_V.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_100_S.0,WV_KO_OVERSTROMINGSDIEPTE_1_X_100_V.0,WV_TOTAAL_S.0
RK_Tuindorp Oostzaan Oost,3.58,3.5,4.0,67.0,3.0,5.3,3.0,2.0,21.0,4.0,45.0,3.2,2.0,0.146584,2.0,2.219344,4.0,0.154204,5.0,0.521287,3.0,3.371653,2.0,2.0,0.854828,2.925,3.0,1.0,0.435211,5.0,0.004068,3.33,4155.0,5.0,1.0,36.567199,4.0,0.188,4.83,5.0,795.0,1220.0,5.0,5.0,37.0,5.0,14.0,4.0,12.0,5.0,1.980129,3.0,3.0,36.74,3.54,3.33,4.0,21.0,2.0,45.0,4.0,0.549636,2.83,36.567199,5.0,4155.0,1.0,1.0,0.0,1.0,0.0,5.0,0.302121,4.0,0.398374,4.63,5.0,795.0,5.0,1220.0,5.0,37.0,5.0,14.0,3.0,5.3,5.0,1.980129,4.0,12.0,5.0,0.903193,5.0,5.0,0.0413,3.9475,4.0,3.0,18.076858,5.0,2.886874,3.33,5.0,4155.0,4.0,3.487514,1.0,0.0,4.83,5.0,14.0,5.0,1220.0,5.0,449.771123,5.0,14.0,4.0,12.0,5.0,1.980129,3.5,5.0,3.57,4.0,2.31,4.0,2.31,1.0,0.0,3.92
RK_Banne Zuidwest,3.56,2.5,3.0,54.0,2.0,10.18,3.5,2.0,22.0,5.0,52.0,3.0,2.0,0.189563,1.0,0.0,5.0,0.344949,5.0,1.134298,2.0,4.101506,5.0,5.0,1.518571,3.5,3.5,2.0,1.337134,5.0,0.00484,3.0,3760.0,5.0,1.0,41.036237,3.0,0.259,4.83,5.0,650.0,940.0,5.0,5.0,34.0,5.0,17.0,4.0,14.0,5.0,1.992919,4.0,4.0,37.12,3.83,2.33,4.0,22.0,1.0,52.0,2.0,1.062857,3.17,41.036237,5.0,3760.0,1.0,1.0,0.0,5.0,0.052,4.0,0.255542,3.0,0.21902,4.0,5.0,650.0,5.0,940.0,5.0,34.0,5.0,17.0,2.0,10.18,5.0,1.992919,4.0,14.0,1.0,0.0,3.0,3.0,0.0273,3.125,5.0,5.0,1.784161,5.0,2.409518,3.33,5.0,3760.0,4.0,3.605808,1.0,0.0,4.83,5.0,17.0,5.0,940.0,5.0,357.594033,5.0,17.0,4.0,14.0,5.0,1.992919,2.0,3.0,0.78,2.0,0.36,2.0,0.36,1.0,0.0,3.79
RK_Kortvoort,3.48,3.5,4.0,77.0,3.0,5.44,2.0,2.0,25.0,2.0,27.0,3.0,2.0,0.119814,1.0,0.038153,3.0,0.071918,5.0,0.627612,4.0,2.049464,3.0,3.0,1.143333,2.875,2.5,2.0,1.048622,3.0,0.106599,2.67,2875.0,4.0,1.0,30.544485,3.0,0.26,5.0,5.0,525.0,910.0,5.0,5.0,38.0,5.0,20.0,5.0,24.0,5.0,1.970487,3.0,3.0,36.97,3.29,3.67,4.0,25.0,4.0,27.0,3.0,0.886,2.33,30.544485,4.0,2875.0,1.0,1.0,0.0,1.0,0.0,4.0,0.260435,3.0,0.214689,4.25,5.0,525.0,5.0,910.0,5.0,38.0,5.0,20.0,3.0,5.44,5.0,1.970487,5.0,24.0,1.0,0.0,5.0,5.0,0.0407,3.8125,4.5,4.0,4.975889,5.0,2.419046,3.0,4.0,2875.0,4.0,4.0,1.0,0.0,5.0,5.0,20.0,5.0,910.0,5.0,271.128703,5.0,20.0,5.0,24.0,5.0,1.970487,3.25,4.0,2.03,4.0,2.03,4.0,2.03,1.0,0.05,3.94
RK_Jan Maijenbuurt,3.47,5.0,5.0,81.0,5.0,0.0,3.0,4.0,44.0,2.0,21.0,2.8,4.0,0.42836,3.0,4.718121,1.0,0.0,4.0,0.307787,2.0,4.00288,3.0,3.0,1.063333,3.45,2.5,4.0,3.188406,1.0,0.602737,3.0,2240.0,4.0,2.0,168.568092,3.0,0.294,4.17,3.0,220.0,620.0,5.0,4.0,31.0,5.0,12.0,5.0,19.0,3.0,0.013013,4.0,4.0,37.63,3.42,3.0,2.0,44.0,4.0,21.0,3.0,0.846,3.67,168.568092,4.0,2240.0,2.0,1.0,0.0,5.0,0.163,5.0,0.683279,5.0,0.573379,3.88,3.0,220.0,5.0,620.0,4.0,31.0,5.0,12.0,5.0,0.0,3.0,0.013013,5.0,19.0,1.0,0.0,5.0,5.0,0.058,3.8875,4.0,4.0,10.274251,4.0,2.375526,3.0,4.0,2240.0,4.0,4.0,1.0,0.0,4.17,3.0,12.0,5.0,620.0,4.0,115.079253,5.0,12.0,5.0,19.0,3.0,0.013013,1.25,2.0,0.44,1.0,0.0,1.0,0.0,1.0,0.0,3.11
RK_Buurt 3,3.44,4.0,4.0,66.0,4.0,4.38,2.5,2.0,25.0,3.0,39.0,2.8,2.0,0.119149,1.0,0.0,4.0,0.150754,4.0,0.391674,3.0,3.75599,3.0,3.0,1.183333,3.075,2.0,1.0,0.606618,3.0,0.091674,3.0,6400.0,5.0,1.0,71.291713,3.0,0.253,5.0,5.0,695.0,1880.0,5.0,5.0,33.0,5.0,15.0,5.0,18.0,5.0,2.989715,3.0,3.0,36.75,3.25,3.33,4.0,25.0,3.0,39.0,3.0,0.845714,3.17,71.291713,5.0,6400.0,1.0,1.0,0.0,5.0,0.04,5.0,0.291722,2.0,0.196052,4.38,5.0,695.0,5.0,1880.0,5.0,33.0,5.0,15.0,4.0,4.38,5.0,2.989715,5.0,18.0,1.0,0.0,4.0,4.0,0.0343,3.72,4.0,3.0,14.310239,5.0,2.578937,3.33,5.0,6400.0,4.0,3.237491,1.0,0.0,5.0,5.0,15.0,5.0,1880.0,5.0,385.872563,5.0,15.0,5.0,18.0,5.0,2.989715,2.5,3.0,1.04,2.0,0.48,2.0,0.48,3.0,0.63,3.71
RK_Louis Chrispijnbuurt,3.43,4.0,4.0,64.0,4.0,4.03,3.0,3.0,36.0,3.0,39.0,2.8,3.0,0.268672,1.0,0.0,3.0,0.08673,5.0,1.075011,2.0,5.0,3.0,3.0,1.198,3.2,3.0,2.0,1.065183,4.0,0.067286,3.0,3195.0,5.0,1.0,62.573447,3.0,0.223,4.83,5.0,625.0,870.0,5.0,5.0,33.0,5.0,14.0,4.0,12.0,5.0,1.998054,3.0,3.0,36.91,3.46,2.67,3.0,36.0,3.0,39.0,2.0,0.994,2.67,62.573447,5.0,3195.0,1.0,1.0,0.0,1.0,0.0,5.0,0.413259,3.0,0.204861,4.25,5.0,625.0,5.0,870.0,5.0,33.0,5.0,14.0,4.0,4.03,5.0,1.998054,4.0,12.0,1.0,0.0,5.0,5.0,0.0404,3.6475,3.0,1.0,0.0,5.0,2.432704,3.33,5.0,3195.0,4.0,4.0,1.0,0.0,4.83,5.0,14.0,5.0,870.0,5.0,342.67671,5.0,14.0,4.0,12.0,5.0,1.998054,2.5,3.0,0.56,3.0,0.55,3.0,0.55,1.0,0.0,3.42
RK_K-buurt Midden,3.42,4.5,4.0,74.0,5.0,0.0,1.5,1.0,14.0,2.0,30.0,2.4,2.0,0.174405,1.0,0.0,1.0,0.0,5.0,0.846072,3.0,3.366416,4.0,4.0,1.435,3.1,2.5,2.0,1.626866,3.0,0.164353,3.0,2350.0,4.0,1.0,30.544485,4.0,0.148,4.0,3.0,170.0,690.0,5.0,4.0,32.0,5.0,15.0,5.0,20.0,2.0,0.005697,4.0,4.0,37.63,3.38,3.67,5.0,14.0,4.0,30.0,2.0,1.07,2.83,30.544485,4.0,2350.0,1.0,1.0,0.0,4.0,0.002,3.0,0.115998,4.0,0.333333,3.75,3.0,170.0,5.0,690.0,4.0,32.0,5.0,15.0,5.0,0.0,2.0,0.005697,5.0,20.0,1.0,0.0,5.0,5.0,0.0547,3.8125,4.0,4.0,5.129743,4.0,2.219364,3.0,4.0,2350.0,4.0,4.0,1.0,0.0,4.0,3.0,15.0,5.0,690.0,4.0,75.305738,5.0,15.0,5.0,20.0,2.0,0.005697,2.5,3.0,1.73,3.0,1.73,3.0,1.73,1.0,0.0,3.38
RK_Amsterdamse Poort,3.41,4.5,5.0,90.0,4.0,3.1,1.0,1.0,10.0,1.0,9.0,3.2,2.0,0.166936,1.0,0.279412,4.0,0.116214,5.0,0.671682,4.0,2.972588,4.0,4.0,1.38,3.175,3.0,2.0,1.017857,4.0,0.05669,2.33,1340.0,3.0,1.0,66.151956,3.0,0.247,4.33,3.0,185.0,530.0,4.0,5.0,36.0,5.0,18.0,5.0,29.0,4.0,1.004734,5.0,5.0,38.15,3.67,4.33,5.0,10.0,5.0,9.0,3.0,0.88625,3.17,66.151956,3.0,1340.0,1.0,1.0,0.0,5.0,0.025,4.0,0.225345,5.0,0.805556,3.88,3.0,185.0,4.0,530.0,5.0,36.0,5.0,18.0,4.0,3.1,4.0,1.004734,5.0,29.0,1.0,0.0,3.0,3.0,0.0277,3.595,3.0,4.0,11.221305,2.0,1.884775,2.67,3.0,1340.0,4.0,3.795658,1.0,0.0,4.33,3.0,18.0,4.0,530.0,5.0,100.951655,5.0,18.0,5.0,29.0,4.0,1.004734,2.75,3.0,1.3,3.0,1.3,3.0,1.3,2.0,0.44,3.19
RK_Jacques Veltmanbuurt,3.41,4.0,4.0,65.0,4.0,4.61,3.0,2.0,22.0,4.0,44.0,2.6,2.0,0.149415,1.0,0.009387,3.0,0.085508,5.0,0.834324,2.0,5.0,4.0,4.0,1.279,3.4,3.0,2.0,1.791855,4.0,0.08191,2.67,3570.0,5.0,1.0,62.573447,2.0,0.331,4.0,5.0,430.0,650.0,5.0,3.0,28.0,4.0,11.0,4.0,12.0,3.0,0.018832,3.0,3.0,36.8,3.17,2.67,4.0,22.0,2.0,44.0,2.0,1.01,3.17,62.573447,5.0,3570.0,1.0,1.0,0.0,5.0,0.047,5.0,0.434812,2.0,0.13936,3.63,5.0,430.0,5.0,650.0,3.0,28.0,4.0,11.0,4.0,4.61,3.0,0.018832,4.0,12.0,1.0,0.0,5.0,5.0,0.041,3.6175,3.5,3.0,19.515817,4.0,2.281941,3.33,5.0,3570.0,4.0,4.0,1.0,0.0,4.0,5.0,11.0,5.0,650.0,3.0,292.824659,4.0,11.0,4.0,12.0,3.0,0.018832,3.0,3.0,0.65,3.0,0.63,3.0,0.63,3.0,0.69,3.46
RK_De Punt,3.4,4.0,4.0,69.0,4.0,4.6,2.5,2.0,21.0,3.0,35.0,2.6,2.0,0.142419,1.0,0.024204,3.0,0.034029,5.0,1.139926,2.0,5.0,2.0,2.0,0.991818,2.775,3.0,1.0,0.77921,5.0,0.011509,3.0,6080.0,5.0,1.0,73.183087,3.0,0.247,4.5,5.0,795.0,2100.0,5.0,4.0,31.0,4.0,12.0,4.0,12.0,5.0,1.983358,4.0,4.0,37.23,3.63,3.33,4.0,21.0,3.0,35.0,3.0,0.633684,3.33,73.183087,5.0,6080.0,1.0,1.0,0.0,5.0,0.023,5.0,0.269457,3.0,0.201708,4.0,5.0,795.0,5.0,2100.0,4.0,31.0,4.0,12.0,4.0,4.6,5.0,1.983358,4.0,12.0,1.0,0.0,4.0,4.0,0.0319,3.665,3.0,1.0,0.0,5.0,2.436557,3.67,5.0,6080.0,5.0,4.665712,1.0,0.0,4.5,5.0,12.0,5.0,2100.0,4.0,476.304344,4.0,12.0,4.0,12.0,5.0,1.983358,3.0,3.0,1.83,3.0,1.83,3.0,1.83,3.0,1.91,3.54
