name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
RK_Amsterdamse Poort,3.67,90.0,9.0,0.7765060240963856,Very High
RK_Balboaplein e0o0,3.67,82.0,11.0,0.7463855421686747,Very High
RK_Markthallen,3.33,87.0,6.0,0.7419678714859438,Very High
RK_Spuistraat Zuid,3.5,83.0,12.0,0.7353413654618475,Very High
RK_Spuistraat Noord,3.33,85.0,7.0,0.7327309236947792,Very High
RK_Hercules Seghersbuurt,3.29,85.0,10.0,0.7174698795180723,Very High
RK_Haveneiland Noord,3.42,80.0,6.0,0.711847389558233,Very High
RK_F-buurt,3.46,82.0,17.0,0.7056224899598394,Very High
RK_Dapperbuurt Zuid,3.54,82.0,21.0,0.6997991967871486,Very High
RK_Haveneiland Noordwest,3.25,85.0,13.0,0.6967871485943776,Very High
RK_Nes e0o0,3.08,92.0,3.0,0.692570281124498,Very High
RK_Nieuwendijk Noord,3.21,81.0,1.0,0.6889558232931726,Very High
RK_Borgerbuurt,3.63,77.0,13.0,0.6859437751004016,Very High
RK_Steigereiland Zuid,3.29,85.0,20.0,0.6807228915662651,Very High
RK_Bellamybuurt Zuid,3.21,82.0,12.0,0.6791164658634539,Very High
RK_Blauwe Zand,3.42,83.0,23.0,0.6791164658634539,Very High
RK_Kalverdriehoek,3.08,84.0,6.0,0.6720883534136547,Very High
RK_Jan Maijenbuurt,3.42,81.0,21.0,0.6708835341365462,Very High
RK_Haveneiland Noordoost,3.33,79.0,14.0,0.6706827309236948,Very High
RK_Noordwestkwadrant Indische buurt Zuid,3.13,83.0,11.0,0.6696787148594378,Very High
RK_Haarlemmerbuurt West,3.04,86.0,9.0,0.6672690763052209,Very High
RK_Laan van Spartaan,3.67,79.0,25.0,0.6630522088353414,Very High
RK_Nieuwe Kerk e0o0,2.96,99.0,1.0,0.66285140562249,Very High
RK_Buikslotermeerplein,3.46,80.0,23.0,0.6598393574297189,Very High
RK_Frederik Hendrikbuurt Zuidoost,3.29,78.0,12.0,0.6586345381526105,Very High
RK_Oostpoort,3.42,82.0,26.0,0.6566265060240963,Very High
RK_Olympisch Stadion e0o0,3.71,76.0,20.0,0.6558232931726908,Very High
RK_Haveneiland Oost,3.58,76.0,19.0,0.6542168674698796,Very High
RK_RI Oost terrein,3.08,85.0,15.0,0.6514056224899599,Very High
RK_Overtoomse Veld Noord,3.54,79.0,26.0,0.6493975903614457,Very High
RK_Zuidwestkwadrant Indische buurt,3.33,78.0,18.0,0.6479919678714858,Very High
RK_Fannius Scholtenbuurt,3.0,84.0,8.0,0.6473895582329317,Very High
RK_Oosterparkbuurt Noordwest,3.08,83.0,14.0,0.6453815261044178,Very High
RK_Amstelkwartier Zuid,3.04,86.0,17.0,0.6417670682730924,Very High
RK_Leidsebuurt Zuidoost,3.33,76.0,13.0,0.6409638554216868,Very High
RK_Anjeliersbuurt Noord,3.0,85.0,13.0,0.6369477911646587,Very High
RK_Hoptille,3.54,79.0,29.0,0.6367469879518072,Very High
RK_Transvaalbuurt West,3.46,77.0,22.0,0.6355421686746989,Very High
RK_Grunder/Koningshoef,3.13,81.0,17.0,0.6317269076305221,Very High
RK_Vogeltjeswei,3.17,81.0,20.0,0.6293172690763053,Very High
RK_Kolenkitbuurt Zuid,3.29,78.0,20.0,0.6289156626506025,Very High
RK_Zuidas Zuid,2.92,90.0,11.0,0.6287148594377511,Very High
RK_De Bongerd,3.08,78.0,8.0,0.6216867469879518,Very High
RK_Hemelrijk,2.92,83.0,8.0,0.6172690763052209,Very High
RK_Noordwestkwadrant Indische buurt Noord,3.13,78.0,16.0,0.6094377510040161,Very High
RK_Willibrordusbuurt,3.04,78.0,10.0,0.6082329317269076,Very High
RK_Anjeliersbuurt Zuid,2.96,81.0,11.0,0.6062248995983935,Very High
RK_Overtoomse Veld Zuid,3.46,77.0,28.0,0.6048192771084339,Very High
