buurtnaam,buurtcode,key,hvi,hvi_tier,heat_exposure,social_vuln,cooling_access,intervention_priority,priority_class,green_desert,temp_mean,ndvi_mean,tree_density_per_km2,pct_mature,dist_koelteplek_m,HI_TOTAAL_S.0
Steigereiland Noord,BU03633500,steigereiland noord,0.3953,2,0.4678,0.3477,0.6548,0.5263,medium,False,28.5287,0.2395,963.6,12.7,5026.822,3.13
Borneo,BU03633305,borneo,0.4178,2,0.5732,0.3595,0.7764,0.4953,medium,False,29.5019,0.0887,927.6,58.5,5056.6157,3.17
Westerdokseiland,BU03630500,westerdokseiland,0.4915,3,0.663,0.4759,0.8201,0.5715,high,False,31.3789,0.0373,556.4,29.8,1271.5441,3.29
Willibrordusbuurt,BU03632500,willibrordusbuurt,0.5972,4,0.7145,0.7047,0.8524,0.5911,high,False,37.3255,0.2233,1597.4,17.7,2875.879,3.04
Nieuwendijk Noord,BU03630102,nieuwendijk noord,0.5767,4,0.9462,0.4219,0.8526,0.5859,high,True,38.113,0.0743,818.0,37.0,2010.5994,3.21
Het Funen,BU03630905,het funen,0.4221,2,0.5803,0.3987,0.8476,0.3635,very low,False,35.633,0.3277,2003.0,33.7,4347.4257,2.88
IJselbuurt Oost,BU03635301,ijselbuurt oost,0.4973,3,0.5837,0.5545,0.7901,0.502,medium,False,35.7829,0.3094,1818.4,33.9,3080.0928,2.67
Houthavens Oost,BU03631201,houthavens oost,0.3422,2,0.3222,0.4357,0.805,0.4406,low,False,25.7825,-0.0544,11.7,66.7,771.9697,2.75
Bedrijvengebied Veelaan,BU03633308,bedrijvengebied veelaan,0.3921,2,0.547,0.357,0.8474,0.3255,very low,False,38.3286,0.2441,1913.3,52.0,4706.4854,2.67
Oostelijke Handelskade,BU03633300,oostelijke handelskade,0.4467,3,0.5816,0.4299,0.7895,0.5352,medium,False,32.0169,0.098,371.9,30.1,3190.6762,3.29
Sporenburg,BU03633304,sporenburg,0.341,2,0.4474,0.3014,0.7928,0.4027,low,False,27.6288,0.0288,820.4,48.8,4989.079,3.13
Nieuwendammerdijk Zuid,BU03636404,nieuwendammerdijk zuid,0.2343,1,0.3394,0.2463,1.0,0.1536,very low,False,28.6865,0.7346,2258.5,61.3,4352.5116,2.46
Van Brakelkwartier,BU03637503,van brakelkwartier,0.5472,4,0.6614,0.5923,0.7713,0.6575,very high,False,37.6184,0.3315,914.7,59.2,1622.2624,2.88
De Wester Quartier,BU03637502,de wester quartier,0.6079,4,0.7768,0.628,0.7704,0.67,very high,False,38.4805,0.3528,1753.7,45.6,1776.9282,3.04
Filips van Almondekwartier,BU03637501,filips van almondekwartier,0.5473,4,0.7312,0.5242,0.7745,0.6388,very high,False,38.6147,0.2883,1375.1,22.6,1685.3549,2.96
