rank,name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
1,RK_Amsterdamse Poort,3.67,90.0,9.0,1.9076305220883536,Very High
2,RK_Markthallen,3.33,87.0,6.0,1.8363453815261044,Very High
3,RK_Balboaplein e0o0,3.67,82.0,11.0,1.820281124497992,Very High
4,RK_Spuistraat Noord,3.33,85.0,7.0,1.8072289156626506,Very High
5,RK_Spuistraat Zuid,3.5,83.0,12.0,1.7821285140562249,Very High
6,RK_Haveneiland Noord,3.42,80.0,6.0,1.7610441767068272,Very High
7,RK_Hercules Seghersbuurt,3.29,85.0,10.0,1.7550200803212852,Very High
8,RK_Nes e0o0,3.08,92.0,3.0,1.7228915662650601,Very High
9,RK_Nieuwendijk Noord,3.21,81.0,1.0,1.7168674698795183,Very High
10,RK_Haveneiland Noordwest,3.25,85.0,13.0,1.6746987951807228,Very High
11,RK_F-buurt,3.46,82.0,17.0,1.6666666666666667,Very High
12,RK_Kalverdriehoek,3.08,84.0,6.0,1.6616465863453815,Very High
13,RK_Nieuwe Kerk e0o0,2.96,99.0,1.0,1.6516064257028114,Very High
14,RK_Borgerbuurt,3.63,77.0,13.0,1.6475903614457832,Very High
15,RK_Bellamybuurt Zuid,3.21,82.0,12.0,1.641566265060241,Very High
16,RK_Haarlemmerbuurt West,3.04,86.0,9.0,1.6345381526104417,Very High
17,RK_Noordwestkwadrant Indische buurt Zuid,3.13,83.0,11.0,1.6285140562248996,Very High
18,RK_Dapperbuurt Zuid,3.54,82.0,21.0,1.607429718875502,Very High
19,RK_Haveneiland Noordoost,3.33,79.0,14.0,1.6004016064257027,Very High
20,RK_Fannius Scholtenbuurt,3.0,84.0,8.0,1.5903614457831325,Very High
21,RK_Frederik Hendrikbuurt Zuidoost,3.29,78.0,12.0,1.5903614457831323,Very High
22,RK_Steigereiland Zuid,3.29,85.0,20.0,1.571285140562249,Very High
23,RK_RI Oost terrein,3.08,85.0,15.0,1.5451807228915662,Very High
24,RK_Oosterparkbuurt Noordwest,3.08,83.0,14.0,1.53714859437751,Very High
25,RK_Jan Maijenbuurt,3.42,81.0,21.0,1.535140562248996,Very High
26,RK_Leidsebuurt Zuidoost,3.33,76.0,13.0,1.535140562248996,Very High
27,RK_Blauwe Zand,3.42,83.0,23.0,1.533132530120482,Very High
28,RK_Zuidas Zuid,2.92,90.0,11.0,1.5261044176706828,Very High
29,RK_De Bongerd,3.08,78.0,8.0,1.5261044176706828,Very High
30,RK_Anjeliersbuurt Noord,3.0,85.0,13.0,1.525100401606426,Very High
31,RK_Haveneiland Oost,3.58,76.0,19.0,1.5190763052208835,Very High
32,RK_Hemelrijk,2.92,83.0,8.0,1.5150602409638554,Very High
33,RK_Zuidwestkwadrant Indische buurt,3.33,78.0,18.0,1.5130522088353413,Very High
34,RK_Olympisch Stadion e0o0,3.71,76.0,20.0,1.5090361445783134,Very High
35,RK_Centrumeiland,2.79,92.0,0.0,1.508032128514056,Very High
36,RK_Amstelkwartier Zuid,3.04,86.0,17.0,1.507028112449799,Very High
37,RK_Buikslotermeerplein,3.46,80.0,23.0,1.4849397590361444,Very High
38,RK_Grunder/Koningshoef,3.13,81.0,17.0,1.4819277108433735,Very High
39,RK_Willibrordusbuurt,3.04,78.0,10.0,1.4819277108433733,Very High
40,RK_Anjeliersbuurt Zuid,2.96,81.0,11.0,1.469879518072289,Very High
41,RK_Laan van Spartaan,3.67,79.0,25.0,1.467871485943775,Very High
42,RK_Reguliersbuurt,2.79,86.0,6.0,1.4608433734939759,Very High
43,RK_Vogeltjeswei,3.17,81.0,20.0,1.4427710843373491,Very High
44,RK_Kolenkitbuurt Zuid,3.29,78.0,20.0,1.441767068273092,Very High
45,RK_Elandsgrachtbuurt,3.0,80.0,13.0,1.4387550200803214,Very High
46,RK_Transvaalbuurt West,3.46,77.0,22.0,1.4377510040160644,Very High
47,RK_Oostpoort,3.42,82.0,26.0,1.4377510040160641,Very High
48,RK_Noordwestkwadrant Indische buurt Noord,3.13,78.0,16.0,1.4347389558232932,Very High
49,RK_Begijnhofbuurt,2.79,95.0,11.0,1.426706827309237,Very High
50,RK_Schipluidenbuurt,2.92,85.0,15.0,1.426706827309237,Very High
51,RK_Spaarndammerbuurt Noordoost,3.17,75.0,13.0,1.4216867469879517,Very High
52,RK_Overtoomse Veld Noord,3.54,79.0,26.0,1.4196787148594379,Very High
53,RK_Hoofdcentrum Zuidoost,2.79,88.0,12.0,1.391566265060241,Very High
54,RK_Spaarndammerbuurt Midden,3.04,81.0,19.0,1.390562248995984,Very High
55,RK_Nieuwmarkt,3.17,75.0,15.0,1.3895582329317266,Very High
56,RK_Vondelparkbuurt West,2.83,82.0,11.0,1.3875502008032128,Very High
57,RK_Zaagpoortbuurt,3.0,81.0,18.0,1.3805220883534137,Very High
58,RK_Bloemgrachtbuurt,2.96,80.0,15.0,1.3734939759036144,Very High
