name,type,address,latitude,longitude,stadsdeel,wijk,active,website_url,photo_url,description,note,seating,toilets,free_water,food_to_buy,own_food_ok,airco,wheelchair_accessible,games,pets_ok,wifi,heat_mon,heat_tue,heat_wed,heat_thu,heat_fri,heat_sat,heat_sun
AH Osdorpplein XL,supermarket,"Osdorpplein 469, 1068 SZ Amsterdam",52.3594695,4.8028986,Nieuw-West,Osdorp-Oost,yes,https://www.ah.nl/winkel/1027,images/locations/ah-osdorpplein-xl.jpg,Meerdere tafels met zitplekken.,,yes,yes,yes,yes,no,yes,,yes,no,,10:00-16:00,11:00-16:00,11:00-16:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00
Stadsboerderij Osdorp,community_center,"Botteskerksingel 30B, 1069 XT Amsterdam",52.3591701,4.7911640,Nieuw-West,Osdorp-Midden,yes,https://stadsboerderijosdorp.nl/,images/locations/stadsboerderij-osdorp.jpg,"Koele binnen- en buitenplekken. Goedkope drankjes (koffie, thee, limonade).",Tijdens warme periodes vaak ruimere openingstijden. Bekijk actuele tijden op de website.,yes,yes,yes,yes,yes,no,,yes,no,,gesloten,10:00-17:00,10:00-19:30,10:00-17:00,10:00-17:00,gesloten,gesloten
Kerk de Opgang,church,"Tussen Meer 68, 1069 DS Amsterdam",52.3580514,4.7978674,Nieuw-West,Osdorp-Midden,yes,https://www.protestantsamsterdam.nl/kerk/osdorp-sloten/,images/locations/kerk-de-opgang.jpg,Soms buurtlunch (tegen betaling). Huisdieren toegestaan.,Tijdens warme periodes vaak ruimere openingstijden. Bekijk actuele tijden op de website.,yes,yes,yes,no,yes,no,,yes,yes,,09:00-17:00,gesloten,9:00 - 17:00,9:00 - 17:00,gesloten,gesloten,gesloten
OBA Slotermeer,library,"Slotermeerlaan 103E, 1063 JN Amsterdam",52.3793298,4.8201747,Nieuw-West,Slotermeer-West,yes,https://oba.nl/nl/over-oba/aangepaste-openingstijden-2026,images/locations/oba-slotermeer.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,no,yes,yes,,yes,no,yes,14:00 - 17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30 - 17:30,gesloten
OBA Postjesweg,library,"Postjesweg 340, 1061 AX Amsterdam",52.3642840,4.8350577,Nieuw-West,Overtoomse Veld,yes,https://oba.nl/nl/over-oba/aangepaste-openingstijden-2026,images/locations/oba-postjesweg.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,yes,yes,yes,,yes,no,yes,gesloten,9:30 - 17:30,9:30 - 17:30,9:30 - 17:30,9:30 - 17:30,gesloten,gesloten
OBA Geuzenveld,library,"Albardakade 3, 1067DD Amsterdam",52.3780277,4.8025806,Nieuw-West,Geuzenveld,yes,https://oba.nl/nl/over-oba/aangepaste-openingstijden-2026,images/locations/oba-geuzenveld.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,no,yes,yes,,yes,no,yes,gesloten,9:30 - 17:30,9:30 - 17:30,9:30 - 17:30,9:30 - 17:30,gesloten,gesloten
Kerk de Ark,church,"Van Ollefenstraat 9, 1065 GJ Amsterdam",52.3547876,4.8253304,Nieuw-West,Slotervaart-Zuid,yes,https://regenbooggemeente.nl/,images/locations/kerk-de-ark.jpg,Soms buurtlunch (tegen betaling). Hulphonden toegestaan.,Tijdens warme periodes vaak ruimere openingstijden. Bekijk actuele tijden op de website.,yes,yes,yes,no,yes,no,,yes,no,,gesloten,gesloten,gesloten,10:00-17:00,10:00-15:30,gesloten,gesloten
Meervaart Theater,theater,"Meer en Vaart 300, 1068 LE Amsterdam",52.3590510,4.8073521,Nieuw-West,Osdorp-Oost,yes,https://meervaart.nl/agenda/brrrothers?gad_source=1&gad_campaignid=23866511509&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD2tbcXoioa3wn_u7BVITAjSFd5cf5l3dD29FUIwAGJDvcUbUNam4wUaAqrTEALw_wcB,images/locations/meervaart-theater.jpg,,,yes,yes,yes,no,yes,yes,,yes,yes,yes,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-19:00,10:00-19:00
Amstelring De Bogt,community_center,"Polanenstraat 6, 1013 VW Amsterdam",52.3890098,4.8783239,West,Spaarndammerbuurt/Zeeheldenbuurt,yes,https://www.amstelring.nl/wonen/locaties/de-bogt,images/locations/amstelring-de-bogt.jpg,,,yes,yes,yes,no,yes,no,,yes,no,,gesloten,gesloten,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00
Albert Heijn Bijlmerplein,supermarket,"Bijlmerplein 526, 1102 DP Amsterdam",52.3155978,4.9551324,Zuidoost,Amsterdamse Poort e.o.,yes,https://www.ah.nl/winkel/1502,images/locations/albert-heijn-bijlmerplein.jpg,,,yes,yes,yes,yes,yes,yes,,no,no,,09:00-19:00,09:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00
Huis van de Wijk Olympus,community_center,"Olympiaweg 29, 1076 VM Amsterdam",52.3491470,4.8633704,Zuid,Stadionbuurt,yes,https://soozamsterdam.nl/ontmoeten/huis-van-de-wijk-olympus/,images/locations/huis-van-de-wijk-olympus.jpg,In het weekend gesloten.,,yes,yes,yes,yes,yes,no,?,yes,yes,,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,gesloten,gesloten
Amstelring de Venser,community_center,"Berthold Brechtstraat 1, 1102 RA Amsterdam",52.3177960,4.9468099,Zuidoost,Venserpolder,yes,https://www.amstelring.nl/wonen/locaties/de-venser,images/locations/amstelring-de-venser.jpg,Meerdere tafels beschikbaar met café,Gratis frisdrank,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,9:00-19:30,9:00-19:30,9:00-19:30,9:00-19:30,9:00-19:30,9:00-19:30,9:00-19:30
Huis van de Wijk Baarshaven,community_center,"Baarsstraat 31, 1075 RV Amsterdam",52.3497285,4.8547042,Zuid,Schinkelbuurt,yes,Buurtkamer De Baarshaven - SOOZ Amsterdam,images/locations/huis-van-de-wijk-baarshaven.jpg,In het weekend gesloten.,Gratis ijsjes en gekoeld drinken aanwezig.,yes,yes,yes,yes,yes,no,,yes,yes,,09:00-16:00,10:00-14:00,14:00-19:00,13:00-16:00,gesloten,gesloten,gesloten
Stichting Midwest,community_center,"Cabralstraat 1, 1057 CD Amsterdam",52.3696723,4.8547144,West,Hoofdweg e.o.,yes,https://www.inmidwest.nl/,images/locations/stichting-midwest.jpg,"Café aanwezig. Eigen eten alleen toegestaan, maar geen sterk geurend of overlastgevend eten.",,yes,yes,yes,yes,yes,yes,,yes,yes,,gesloten,gesloten,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,gesloten
Hotel Nicolaas Witsen,Hotel,"Nicolaas Witsenstraat 4, 1017 ZH Amsterdam",52.3589853,4.8961667,Centrum,De Weteringschans,yes,Bereikbaarheid | Hotel Nicolaas Witsen Amsterdam,images/locations/hotel-nicolaas-witsen.jpg,,,yes,yes,yes,yes,yes,yes,,yes,no,,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00
OBA Oosterdok,library,"Oosterdokskade 143, 1011 DL Amsterdam",52.3758244,4.9083748,Centrum,Nieuwmarkt/Lastage,yes,https://oba.nl/nl/locaties/oba-oosterdok,images/locations/oba-oosterdok.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,yes,no,no,yes,yes,no,yes,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,10:00 - 20:00,10:00 - 20:00
