buurtnaam,buurtcode,key,hvi,hvi_tier,hi_norm,svi,cooling_access,intervention_priority,priority_class,green_desert,temp_mean,ndvi_mean,tree_density_per_km2,pct_mature,dist_koelteplek_m,HI_TOTAAL_S.0
Steigereiland Noord,BU03633500,steigereiland noord,0.4241,3,0.7353,0.1803,0.7107,0.6509,very high,False,28.5287,0.2395,963.6,12.7,5026.822,3.13
Borneo,BU03633305,borneo,0.3855,3,0.7549,0.1105,0.8033,0.6021,high,False,29.5019,0.0887,927.6,58.5,5056.6157,3.17
Westerdokseiland,BU03630500,westerdokseiland,0.5274,4,0.8137,0.4306,0.8519,0.7143,very high,True,31.3789,0.0373,556.4,29.8,1271.5441,3.29
Willibrordusbuurt,BU03632500,willibrordusbuurt,0.5219,4,0.6912,0.5895,0.9519,0.5559,medium,False,37.3255,0.2233,1597.4,17.7,2875.879,3.04
Nieuwendijk Noord,BU03630102,nieuwendijk noord,0.4918,4,0.7745,0.3947,0.8795,0.6151,high,True,38.113,0.0743,818.0,37.0,2010.5994,3.21
Het Funen,BU03630905,het funen,0.3711,2,0.6127,0.2492,0.8682,0.4384,low,False,35.633,0.3277,2003.0,33.7,4347.4257,2.88
IJselbuurt Oost,BU03635301,ijselbuurt oost,0.3885,3,0.5098,0.4215,0.9199,0.4126,low,False,35.7829,0.3094,1818.4,33.9,3080.0928,2.67
Houthavens Oost,BU03631201,houthavens oost,0.4286,3,0.549,0.4378,0.8309,0.6482,very high,False,25.7825,-0.0544,11.7,66.7,771.9697,2.75
Bedrijvengebied Veelaan,BU03633308,bedrijvengebied veelaan,0.3955,3,0.5098,0.396,0.8342,0.4815,low,False,38.3286,0.2441,1913.3,52.0,4706.4854,2.67
Oostelijke Handelskade,BU03633300,oostelijke handelskade,0.4606,3,0.8137,0.2108,0.7461,0.689,very high,False,32.0169,0.098,371.9,30.1,3190.6762,3.29
Sporenburg,BU03633304,sporenburg,0.3381,2,0.7353,0.0143,0.8085,0.5886,high,False,27.6288,0.0288,820.4,48.8,4989.079,3.13
Nieuwendammerdijk Zuid,BU03636404,nieuwendammerdijk zuid,,,0.4069,0.4179,,,,False,28.6865,0.7346,2258.5,61.3,4352.5116,2.46
Van Brakelkwartier,BU03637503,van brakelkwartier,0.4601,3,0.6127,0.4885,0.9019,0.5793,high,False,37.6184,0.3315,914.7,59.2,1622.2624,2.88
De Wester Quartier,BU03637502,de wester quartier,0.499,4,0.6912,0.5025,0.8922,0.5807,high,False,38.4805,0.3528,1753.7,45.6,1776.9282,3.04
Filips van Almondekwartier,BU03637501,filips van almondekwartier,0.4354,3,0.652,0.4036,0.9342,0.4716,low,False,38.6147,0.2883,1375.1,22.6,1685.3549,2.96
